 Secretaría; Código Departamento; Departamento; Código Municipio; Municipio; Código; Nombre;  Dirección; Teléfono; Nombre Rector; Tipo Establecimiento; Etnias; Sector; Genero; Zona; Niveles; Jornadas; Caracter; Especialidad; Licencia; Grados; Modelos Educativos;  Capacidades Excepcionales; Discapacidades; Idiomas; Número de Sedes; Estado; Prestador de servicio; Propiedad de la planta fisíca; Resguardo; Matricula contratada; Calendario; Internado; Estrato socio-economico; Correo Electrónico
CUNDINAMARCA;25;CUNDINAMARCA;25649;SAN BERNARDO;225649000290;ESCUELA RURAL  LA ROSITA;XXOOXX;;;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;EDUCACION MISIONAL CONTRATADA;EDUCACION MISIONAL CONTRATADA;;NO;A;"";"";DF
CUNDINAMARCA;25;CUNDINAMARCA;25649;SAN BERNARDO;225649000192;ESCUELA RURAL AGUADAS;AGUANEGRA;8680180;CARLOS RAMON ROZO MU¿OZ;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;EDUCACION MISIONAL CONTRATADA;EDUCACION MISIONAL CONTRATADA;NO APLICA;NO;A;"";"";DF
CUNDINAMARCA;25;CUNDINAMARCA;25805;TIBACUY;225290000990;CENTRO EDUC. MPAL. SANTIAGO SAMPER BRUSH;VDA EL TRIUNFO;3112288257;LIGIA INES PEREZ;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";lparango@yahoo.es
CUNDINAMARCA;25;CUNDINAMARCA;25805;TIBACUY;225805000211;INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO AGROPECUARIO CALANDAIMA;CUMACA VEREDA CALANDAIMA;3238133411-3123857555;CESAR IVAN TINOCO TORRES;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,ÚNICA,FIN DE SEMANA";TÉCNICO/ACADEMICO;"AGROPECUARIO,ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,SER";"";"";"";8;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"ESTRATO 1";iedcalandaima_tibacuy@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25805;TIBACUY;125805000012;INSTITUCION EDUCATIVA DEPARTAMENTAL TECNICO COMERCIAL DE TIBACUY;CARRERA 4 NO. 4-27;8668069-3213218154-3115713337-3115713557;PLINIO ANTONIO RAMOS TORRES;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"URBANA,RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,ÚNICA,NOCTURNA,FIN DE SEMANA";TÉCNICO/ACADEMICO;"COMERCIAL,ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,UNAD,A CRECER,EDUCACIÓN TRADICIONAL";"";"";"";5;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"ESTRATO 1";iedtecnicocomercial_tibacuy@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25506;VENECIA;225506000141;ESCUELA RURAL EL TIMBRIO;BUENOS AIRES;3208254182;CESAR ANTONIO BAQUERO BAQUERO;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";ceanbaba3@yahoo.es
CUNDINAMARCA;25;CUNDINAMARCA;25799;TENJO;125799000161;I.E.D. ENRIQUE SANTOS MONTEJO;VEREDA CHURUGUACO.;3124520001;HECTOR MENDEZ HERNANDEZ;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,ÚNICA,NOCTURNA,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL";"";"";"";6;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedenriquesantos_tenjo@secundinamarca.edu.co 
CUNDINAMARCA;25;CUNDINAMARCA;25320;GUADUAS;125320000618;INSTITUCION EDUCATIVA DEPARTAMENTAL MIGUEL SAMPER AGUDELO;CARRERA 9 # 3-15 SUR;3015178612;BLANCA ESPERANZA MORENO MORENO;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA";TÉCNICO/ACADEMICO;"OTRO,ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,A CRECER,EDUCACIÓN TRADICIONAL";"";"";"";40;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedmiguelsamper_guaduas@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25572;PUERTO SALGAR;225572000194;CENTRO EDUCATIVO RURAL COLORADOS;VEREDA COLORADOS;8398467;JOSE IGNACIO CARDOZO VALENCIA;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;EDUCACION MISIONAL CONTRATADA;EDUCACION MISIONAL CONTRATADA;NO APLICA;NO;A;"";"";joigcava@hotmail.com
CUNDINAMARCA;25;CUNDINAMARCA;25572;PUERTO SALGAR;125572000114;INSTITUCION EDUCATIVA DEPARTAMENTAL MIXTO ANTONIO RICAURTE;IND B. ALTO BUENOS AIRES;8399472 - 3133659124;MICHAEL RINCON LAITON.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,NOCTURNA,FIN DE SEMANA";TÉCNICO/ACADEMICO;"OTRO,ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,A CRECER,EDUCACIÓN TRADICIONAL,TELESECUNDARIA,GRUPOS JUVENILES CREATIVOS,CAFAM";"";"";"";6;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedantonioricaurte_puertosalgar@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25572;PUERTO SALGAR;125572000033;INSTITUCION EDUCATIVA DEPARTAMENTAL POLICARPA SALAVARRIETA;CALLE 14 NO 6 22;3138701556;BLANCA MILENA RINCÓN HUERTAS.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"URBANA,RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA";"MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,POST PRIMARIA,A CRECER,EDUCACIÓN TRADICIONAL";"";"";"";4;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedpolicarpa_puertosalgar@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25398;LA PEÑA;225398000074;CENTRO EDUCATIVO RURAL MINIP¿;VEREDA MINIPI;000000000;ADRIANA JANETH GUZMAN OLAYA;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";ACADÉMICO;"ACADÉMICA";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";DI_NUCLEO_023@YAHOO.ES
CUNDINAMARCA;25;CUNDINAMARCA;25402;LA VEGA;225402000076;CENTRO EDUCATIVO DIVINO NI¿O;VEREDA BULUCAIMA;8458765;GUILLERMO  MANRIQUE LOPEZ;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";WWW.ALCALDIALAVEGA@GOV.CO
CUNDINAMARCA;25;CUNDINAMARCA;25402;LA VEGA;225402000432;CENTRO EDUCATIVO RURAL LA ALIANZA;LA VEGA VEREDA LA ALIANZA;8458765;GUILLERMO MANRIQUE LOPEZ;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;B;"";"";FERNANDOROJASACOSTA@HOTMAIL.COM
CUNDINAMARCA;25;CUNDINAMARCA;25402;LA VEGA;225402000351;CENTRO EDUCATIVO RURAL SAN JUAN;LA VEGA   VEREDA SAN JUAN;8458765;GUILLERMO MANRIQUE LOPEZ;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";ORPHEN83@HOTMAIL.COM
CUNDINAMARCA;25;CUNDINAMARCA;25592;QUEBRADANEGRA;325592000136;INSTITUCION EDUCATIVA DEPARTAMENTAL ALFREDO VASQUEZ COBO;QUEBRADANEGRA CENTRO;3132922630;ARNULFO VARGAS BELTRAN.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,NOCTURNA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL";"";"";"";6;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedvasquezcobo_quebradanegra@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25718;SASAIMA;125718000219;INSTITUCION EDUCATIVA DEPARTAMENTAL NUESTRA SEÑORA DE FATIMA;CARRERA 3 NO 8-06;3114881884;FERNEY ALEXANDER MALAGON ORTIZ.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"URBANA,RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,NOCTURNA,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,MEDIA RURAL,POST PRIMARIA,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE";"";"";"";11;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iednuestrasenora_sasaima@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25777;SUPATÁ;225777000286;INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL  GABRIELA MISTRAL;DIRECCION DE NUCLEO;8479523;JAIRO YESID SUAREZ ACOSTA;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";ACADÉMICO;"ACADÉMICA";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";ISABEL1-847@HOTMAIL.COM
CUNDINAMARCA;25;CUNDINAMARCA;25862;VERGARA;225862000384;INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL GUACAMAYAS;VEREDA GUACAMAYAS;3114863429;JESUS ENRIQUE GUZMAN CHACON;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";ACADÉMICO;"ACADÉMICA";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";colegioguacamayas@gmail.com
CUNDINAMARCA;25;CUNDINAMARCA;25875;VILLETA;125875000281;INSTITUCION EDUCATIVA DEPARTAMENTAL ALONSO DE OLALLA;BARRIO CARLOS LLERAS;3142997977;PEDRO OMAR PEREZ LOAIZA.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"URBANA,RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA";TÉCNICO/ACADEMICO;"OTRO,ACADÉMICA";RECONOCIMIENTO OFICIAL;"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,POST PRIMARIA,A CRECER,EDUCACIÓN TRADICIONAL,SAT";"";"";"";10;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"ESTRATO 3,ESTRATO 2,ESTRATO 1";iedalonsodeolalla_villeta@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25258;EL PEÑÓN;125258000312;INSTITUCION EDUCATIVA DEPARTAMENTAL ANTONIO NARIÑO;CRA 3 NO 3 68;3163421199;GLORIA ISABEL HERNANDEZ DIAZ.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,ÚNICA,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL";"";"";"";19;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedantonionarino_elpenon@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25513;PACHO;225513001420;I.E.D. VERAGUAS - LIMONCITO;VDA VERAGUAS;312 377 10 06;HECTOR HORACIO TELLEZ GOMEZ;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";TÉCNICO/ACADEMICO;"COMERCIAL,AGROPECUARIO,ACADÉMICA";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedrlimoncitos@hotmail.com
CUNDINAMARCA;25;CUNDINAMARCA;25513;PACHO;225513000032;INSTITUCION EDUCATIVA DEPARTAMENTAL INSTITUTO TECNICO AGRICOLA;KM. 5 VDA. LLANO LA HACIENDA;3112372697;CLAUDIA YANETH TOVAR MORENO.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,FIN DE SEMANA";TÉCNICO/ACADEMICO;"AGROPECUARIO,ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,SAT";"";"";"";15;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedtecnicoagricola_pacho@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25513;PACHO;125513001069;INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO COMERCIAL ANA FRANCISCA LARA;CALLE 7 NO 20-60;8542820 3213187281;ADRIANA LAMY CARDENAS.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL,URBANA";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA";TÉCNICO/ACADEMICO;"COMERCIAL,ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL";"";"";"";9;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedanafranciscalara@secundinamarca.edu.co 
CUNDINAMARCA;25;CUNDINAMARCA;25653;SAN CAYETANO;225653000041;INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL CUIBUCO;VEREDA CUIBUCO;3115529924;ROLANDO MARCELINO ALARCON GARZON.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL";"";"";"";4;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedrcuibuco_sancayetano@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25823;TOPAIPÍ;225823000041;INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL EL NARANJAL;VEREDA PAPATAS;3213763888-3144410151;IRIS BEATRIZ GARCIA VEGA;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,ÚNICA,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"0,1,2,3,4,5,6,7,8,9,10,11,21,22";"ESCUELA NUEVA,A CRECER,TELESECUNDARIA,EDUCACIÓN TRADICIONAL";"";"";"";10;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"ESTRATO 1";iedrnaranjal_topaipi@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25885;YACOPÍ;225885002031;INSTITUCION EDUCATIVA DEPARTAMENTAL  LUIS CARLOS GALAN;INSPECCION TERAN;3128662915;MAURICIO TORRES BAUTISTA.;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"POST PRIMARIA,MEDIA RURAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,A CRECER,EDUCACIÓN TRADICIONAL,SAT";"CAPACIDADES EXCEPCIONALES";"";"";22;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedluiscarlosgalan_yacopi@secundinamarca.edu.co mtorresbautista@hotmail.com
